variant,rounds,n_key_summaries,mean_mean_hamming_distance,sd_mean_hamming_distance,ci95_low_across_keys,ci95_high_across_keys
position_only,1,4,4.0253749999999995,0.03667736586324987,3.9894311814540147,4.061318818545985
position_only,12,4,63.48375,0.12974879575549006,63.35659618015962,63.61090381984038
position_only,16,4,63.98949999999999,0.14360188021053222,63.84877015739367,64.13022984260631
position_only,2,4,7.406875,0.039544015560722574,7.368121864750492,7.445628135249509
position_only,4,4,18.290625,0.25927667815160976,18.03653385541142,18.544716144588577
position_only,5,4,32.828875,0.2353367711033123,32.59824496431875,33.05950503568124
position_only,8,4,54.343624999999996,0.3939708904221211,53.95753352738632,54.729716472613674
rotor,1,4,4.0253749999999995,0.03667736586324987,3.9894311814540147,4.061318818545985
rotor,12,4,63.426,0.10965172137271863,63.31854131305474,63.533458686945266
rotor,16,4,64.02074999999999,0.10071453056369455,63.92204976004757,64.11945023995241
rotor,2,4,7.3629999999999995,0.05939837259274587,7.304789594859108,7.421210405140891
rotor,4,4,18.222125,0.16015532824937953,18.065172778315606,18.37907722168439
rotor,5,4,32.77825,0.33080570833446427,32.45406040583222,33.10243959416778
rotor,8,4,54.355625,0.134059921303867,54.22424627712221,54.487003722877795
round_only,1,4,4.01525,0.039248142206563995,3.9767868206375674,4.053713179362433
round_only,12,4,63.59775,0.11057162083162589,63.489389811585006,63.70611018841499
round_only,16,4,64.07962500000001,0.1266256786753758,63.95553183489814,64.20371816510188
round_only,2,4,7.430625,0.047971128469806376,7.3836132940995896,7.4776367059004105
round_only,4,4,18.194375,0.16292348664327155,18.034709983089595,18.354040016910407
round_only,5,4,32.77225,0.2550050653091674,32.52234503599701,33.022154964002986
round_only,8,4,54.26725,0.25405035590082015,54.0182806512172,54.5162193487828
static,1,4,4.01525,0.039248142206563995,3.9767868206375674,4.053713179362433
static,12,4,63.57175,0.10638804757427751,63.46748971337721,63.67601028662279
static,16,4,64.000125,0.07961822969647074,63.92209913489746,64.07815086510254
static,2,4,7.449625,0.04436660718753856,7.406145724956213,7.4931042750437875
static,4,4,18.051499999999997,0.18354608867166486,17.871624833101766,18.23137516689823
static,5,4,32.856875,0.17139446461307037,32.68890842467919,33.02484157532081
static,8,4,54.16825,0.20980208928098382,53.962643952504635,54.373856047495366
