key_index,variant,rounds,trials,mean_hamming_distance,sd,ci95_low,ci95_high
0,static,1,2000,4.0445,1.4097920083307953,3.9827131410106333,4.106286858989367
0,rotor,1,2000,4.017,1.3614836829391144,3.957330346719951,4.0766696532800495
0,round_only,1,2000,4.0445,1.4097920083307953,3.9827131410106333,4.106286858989367
0,position_only,1,2000,4.017,1.3614836829391144,3.957330346719951,4.0766696532800495
0,static,2,2000,7.4835,2.3758261773565224,7.379374826828264,7.587625173171737
0,rotor,2,2000,7.3365,2.3505382926326828,7.2334831172415575,7.439516882758443
0,round_only,2,2000,7.4575,2.3710767074002876,7.353582981526777,7.561417018473223
0,position_only,2,2000,7.425,2.4069216098198774,7.319512009413018,7.530487990586981
0,static,4,2000,18.2435,6.6607349778551175,17.951580418664346,18.535419581335656
0,rotor,4,2000,18.19,6.558460696181053,17.90256278668934,18.47743721331066
0,round_only,4,2000,18.3655,6.634072294420961,18.074748962287725,18.656251037712277
0,position_only,4,2000,18.4705,6.792289551298174,18.172814785272543,18.76818521472746
0,static,5,2000,32.9425,11.86071380718749,32.422681298242985,33.46231870175702
0,rotor,5,2000,33.032,11.68555741614678,32.51985786554537,33.544142134454624
0,round_only,5,2000,32.744,11.862791699825834,32.224090230582874,33.263909769417126
0,position_only,5,2000,33.0605,11.819377673731266,32.54249293416795,33.57850706583204
0,static,8,2000,54.427,10.850370328617087,53.95146155353764,54.90253844646236
0,rotor,8,2000,54.3515,10.76024345308157,53.87991153801547,54.82308846198453
0,round_only,8,2000,54.537,10.932217876252142,54.05787442660369,55.01612557339631
0,position_only,8,2000,54.917,10.868448490299484,54.440669243168415,55.39333075683159
0,static,12,2000,63.7065,6.206336847008005,63.43449529480903,63.978504705190964
0,rotor,12,2000,63.5155,5.9799364185403245,63.25341773107354,63.777582268926466
0,round_only,12,2000,63.673,6.110870835747193,63.40517927722715,63.940820722772855
0,position_only,12,2000,63.525,5.881298312015592,63.267240736696216,63.78275926330378
0,static,16,2000,63.895,5.815314603868907,63.64013260020996,64.14986739979004
0,rotor,16,2000,64.0855,5.706528891190598,63.83540034428113,64.33559965571887
0,round_only,16,2000,63.9725,5.76075836313755,63.720023632882246,64.22497636711775
0,position_only,16,2000,63.9545,5.692418779902169,63.70501874717415,64.20398125282586
1,static,1,2000,4.033,1.3586147051163842,3.9734560852169274,4.092543914783073
1,rotor,1,2000,3.977,1.3929972076821637,3.9159492056026437,4.038050794397356
1,round_only,1,2000,4.033,1.3586147051163842,3.9734560852169274,4.092543914783073
1,position_only,1,2000,3.977,1.3929972076821637,3.9159492056026437,4.038050794397356
1,static,2,2000,7.469,2.4170146834452613,7.363069660957945,7.574930339042056
1,rotor,2,2000,7.2995,2.3745776591911594,7.195429545549446,7.403570454450554
1,round_only,2,2000,7.448,2.349905748857655,7.3450108396948,7.550989160305201
1,position_only,2,2000,7.3655,2.3397963743746524,7.2629539025664585,7.468046097433541
1,static,4,2000,18.142,6.586541373409251,17.853332096747863,18.430667903252136
1,rotor,4,2000,18.401,6.642458891861133,18.10988140344899,18.69211859655101
1,round_only,4,2000,18.284,6.620744756488146,17.993833067391215,18.574166932608783
1,position_only,4,2000,18.5045,6.6553832957544,18.212814966473783,18.796185033526218
1,static,5,2000,32.969,11.952174121603004,32.445172873229566,33.492827126770436
1,rotor,5,2000,32.6515,11.807402556344208,32.13401776682767,33.16898223317233
1,round_only,5,2000,32.505,11.772691839021705,31.989039031087895,33.02096096891211
1,position_only,5,2000,32.66,11.89841107430091,32.13852914266708,33.18147085733291
1,static,8,2000,54.233,10.604901836956612,53.76821968451791,54.697780315482085
1,rotor,8,2000,54.1685,11.045365897239527,53.68441549594132,54.65258450405868
1,round_only,8,2000,53.939,11.299562781786284,53.443774826276425,54.434225173723576
1,position_only,8,2000,54.0665,11.350616547042677,53.56903729635986,54.56396270364014
1,static,12,2000,63.53,6.170991862762836,63.25954435704278,63.800455642957225
1,rotor,12,2000,63.324,6.050316286243373,63.05883319737228,63.589166802627716
1,round_only,12,2000,63.677,5.945279150055617,63.416436652835166,63.93756334716483
1,position_only,12,2000,63.4745,6.10827350833493,63.20679311011996,63.74220688988004
