key_index,rounds,trials,mean_rotor_minus_static,sd_paired_difference,ci95_low,ci95_high,normal_approx_two_sided_p,paired_standardized_effect
0,1,2000,-0.0275,1.7100309508679847,-0.10244541081548056,0.047445410815480565,0.4720237778353412,-0.016081580269667887
0,2,2000,-0.147,3.239079625203617,-0.2889589236392006,-0.00504107636079934,0.04239709410880868,-0.04538326222553395
0,4,2000,-0.0535,8.690132159436601,-0.43436183434236264,0.32736183434236266,0.7830681416148799,-0.006156408098109812
0,5,2000,0.0895,15.692565693952966,-0.5982570152079758,0.7772570152079759,0.798675976685294,0.005703337602371056
0,8,2000,-0.0755,14.584929202087851,-0.714712705600648,0.563712705600648,0.8169236406629019,-0.0051765763792114994
0,12,2000,-0.191,8.435051514189082,-0.5606824321570106,0.17868243215701063,0.31122596578809963,-0.022643608006270976
0,16,2000,0.1905,8.078542020103955,-0.16355771467440194,0.544557714674402,0.29162027815774916,0.023580987698761595
1,1,2000,-0.056,1.741373076079634,-0.1323190400171187,0.0203190400171187,0.1503849098762421,-0.03215853097147523
1,2,2000,-0.1695,3.2628350856882418,-0.3125000525990171,-0.026499947400982937,0.020167555495847717,-0.05194868742936996
1,4,2000,0.259,8.522572153878137,-0.11451819331267893,0.6325181933126789,0.174122178011046,0.03038988644785411
1,5,2000,-0.3175,15.619816999297583,-1.002068663088109,0.36706866308810904,0.3633292413371433,-0.020326742625363527
1,8,2000,-0.0645,14.474048804477523,-0.6988531579146415,0.5698531579146415,0.8420361980988357,-0.004456251382822962
1,12,2000,-0.206,8.648292344748766,-0.5850281236141259,0.17302812361412598,0.2867624648921938,-0.02381973131667814
1,16,2000,0.0905,8.10722969556607,-0.26481500748641684,0.4458150074864169,0.6176251162205265,0.01116287602527105
2,1,2000,0.0935,1.6760555871347413,0.020043625152728575,0.16695637484727144,0.012602313318069911,0.055785739278397424
2,2,2000,-0.0835,3.24419329650262,-0.2256830401653282,0.058683040165328174,0.24971105391714243,-0.02573829373546163
2,4,2000,0.457,8.887330494679537,0.06749556755763864,0.8465044324423614,0.021468620028857643,0.051421515186544066
2,5,2000,-0.2335,15.273035407386367,-0.9028702897160713,0.4358702897160712,0.49415374155388275,-0.015288382025689171
2,8,2000,0.362,14.421613899759516,-0.2700550968923151,0.9940550968923151,0.2616242567689565,0.02510121284040453
2,12,2000,-0.117,8.512845897385688,-0.4900919213272781,0.2560919213272781,0.5387875675777822,-0.013743934920275126
2,16,2000,0.014,7.931031120057067,-0.33359276443583236,0.3615927644358324,0.9370779965937126,0.0017652181397441375
3,1,2000,0.0305,1.6955846347578212,-0.043812273096483764,0.10481227309648376,0.4211410819745387,0.017987895959175337
3,2,2000,0.0535,3.220065552295565,-0.08762559515199042,0.1946255951519904,0.4574658813247532,0.016614568595307067
3,4,2000,0.02,8.947884236854994,-0.3721583172047693,0.4121583172047693,0.920376376044806,0.002235165260366579
3,5,2000,0.147,15.090999308530401,-0.5143922059246154,0.8083922059246155,0.6631077097982733,0.00974090562159831
3,8,2000,0.5275,14.591871199491562,-0.1120169520512968,1.1670169520512967,0.10594543686439231,0.03615026426620187
3,12,2000,-0.069,8.340864704094294,-0.43455451320187677,0.29655451320187676,0.7114134108675634,-0.008272523586928567
3,16,2000,-0.2125,7.981866877455719,-0.5623207397367614,0.13732073973676143,0.23380680369500917,-0.026622844412526207
