variant,rounds,n_key_summaries,mean_max_weight1_class_log2_probability,sd_max_weight1_class_log2_probability,ci95_low_across_keys,ci95_high_across_keys
position_only,12,4,-58.47282021713419,0.5812976401819981,-59.04249190451255,-57.90314852975583
position_only,16,4,-78.36219157702065,0.7715944761959436,-79.11835416369267,-77.60602899034863
position_only,4,4,-18.494231569009813,0.3202722527635213,-18.808098376718064,-18.18036476130156
position_only,8,4,-38.49167045150379,0.420245301755765,-38.903510847224446,-38.07983005578314
rotor,12,4,-58.6904323718898,0.09852447420041488,-58.78698635660621,-58.59387838717339
rotor,16,4,-78.6410280802302,0.17115309254599154,-78.80875811092527,-78.47329804953513
rotor,4,4,-18.804214194597442,0.11163850806407508,-18.913619932500236,-18.69480845669465
rotor,8,4,-38.738861727135344,0.1505218853742944,-38.88637317480215,-38.591350279468536
round_only,12,4,-58.868288620221065,0.2043052887620928,-59.068507803207915,-58.668069437234216
round_only,16,4,-78.83067771470363,0.2982733621006454,-79.12298560956226,-78.53836981984499
round_only,4,4,-18.97422789406328,0.0747921579597211,-19.047524208863805,-18.900931579262753
round_only,8,4,-38.86374560271702,0.08536451048986587,-38.947402822997084,-38.78008838243695
static,12,4,-58.1030300840886,0.45148038918281014,-58.545480865487754,-57.66057930268945
static,16,4,-77.9045214782212,0.6181675333939768,-78.5103256609473,-77.2987172954951
static,4,4,-18.49971074815354,0.17253352679227374,-18.668793604409966,-18.330627891897112
static,8,4,-38.30044767762009,0.34703438166099626,-38.64054137164787,-37.96035398359231
