rounds,max_single_trail_log2_probability,max_single_trail_probability,variant,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,key_index
4,-25.0,2.9802322387695312e-08,static,2.4959444999694824e-06,-18.611982714654864,33,0
8,-51.0,4.440892098500626e-16,static,2.230327034169477e-12,-38.7058818697665,33,0
12,-78.0,3.308722450212111e-24,static,2.2365039534533917e-18,-58.63346039938518,33,0
16,-104.0,4.930380657631324e-32,static,2.2009274878448953e-24,-78.58816266257602,33,0
4,-25.0,2.9802322387695312e-08,rotor,2.1569430828094482e-06,-18.822580462010762,66,0
8,-53.0,1.1102230246251565e-16,rotor,1.9714369026146983e-12,-38.88388960205076,66,0
12,-79.0,1.6543612251060553e-24,rotor,1.978398528424529e-18,-58.81037263623931,97,0
16,-106.0,1.232595164407831e-32,rotor,1.8826999218913073e-24,-78.81347120602139,97,0
4,-26.0,1.4901161193847656e-08,round_only,1.8104910850524902e-06,-19.075187496394218,3,0
8,-52.0,2.220446049250313e-16,round_only,1.9522161665008753e-12,-38.89802432905077,3,0
12,-79.0,1.6543612251060553e-24,round_only,1.691533015774175e-18,-59.036374371674896,3,0
16,-106.0,1.232595164407831e-32,round_only,1.5906943822797222e-24,-79.0566175978331,3,0
4,-26.0,1.4901161193847656e-08,position_only,2.4922192096710205e-06,-18.61413759935854,97,0
8,-52.0,2.220446049250313e-16,position_only,2.280675648336228e-12,-38.673675853686106,97,0
12,-79.0,1.6543612251060553e-24,position_only,2.1963607232298284e-18,-58.659590690570695,97,0
16,-106.0,1.232595164407831e-32,position_only,2.1526432797515344e-24,-78.62016501082088,97,0
4,-26.0,1.4901161193847656e-08,static,3.214925527572632e-06,-18.246783250821046,103,1
8,-53.0,1.1102230246251565e-16,static,3.9456493627909595e-12,-37.88287438457348,103,1
12,-80.0,8.271806125530277e-25,static,4.7262428407901455e-18,-57.554011949121424,103,1
16,-106.0,1.232595164407831e-32,static,6.189329822152818e-24,-77.09649107377,103,1
4,-26.0,1.4901161193847656e-08,rotor,2.164393663406372e-06,-18.81760564659547,8,1
8,-53.0,1.1102230246251565e-16,rotor,2.074743155056069e-12,-38.81020439103803,77,1
12,-80.0,8.271806125530277e-25,rotor,2.2579005309607243e-18,-58.61972377662271,8,1
16,-106.0,1.232595164407831e-32,rotor,2.422612347043182e-24,-78.44971070607791,8,1
4,-26.0,1.4901161193847656e-08,round_only,2.0489096641540527e-06,-18.896712191587977,8,1
8,-53.0,1.1102230246251565e-16,round_only,2.1723040033450047e-12,-38.74391112324642,103,1
12,-79.0,1.6543612251060553e-24,round_only,2.3303683251616348e-18,-58.574147710651616,108,1
16,-106.0,1.232595164407831e-32,round_only,2.4954130844237227e-24,-78.40699562184622,108,1
4,-26.0,1.4901161193847656e-08,position_only,3.725290298461914e-06,-18.03421571533791,103,1
8,-53.0,1.1102230246251565e-16,position_only,3.947647764235285e-12,-37.88214387009553,103,1
12,-80.0,8.271806125530277e-25,position_only,4.51971615945945e-18,-57.61847353449096,103,1
16,-107.0,6.162975822039155e-33,position_only,5.700158600591206e-24,-77.2152722160714,103,1
4,-26.0,1.4901161193847656e-08,static,2.5033950805664062e-06,-18.60768257722124,3,2
8,-53.0,1.1102230246251565e-16,static,3.16595361038452e-12,-38.200497022326296,8,2
12,-80.0,8.271806125530277e-25,static,3.486712382686704e-18,-57.9928383462053,8,2
16,-107.0,6.162975822039155e-33,static,3.61856806706191e-24,-77.87085536762369,8,2
4,-26.0,1.4901161193847656e-08,rotor,2.425163984298706e-06,-18.653486266834364,60,2
