key_index,byte_index,seed_attempts,orbit_size,seed_branch_number,transpose_branch_number,variant,labelled_seed_orientation_pairs,distinct_matrix_values
0,0,67,4,4,4,,,
0,1,8,4,4,4,,,
0,2,16,4,4,4,,,
0,3,19,4,4,4,,,
0,4,201,4,4,4,,,
0,5,76,4,4,4,,,
0,6,12,4,4,4,,,
0,7,41,4,4,4,,,
0,8,11,4,4,4,,,
0,9,158,4,4,4,,,
0,10,1,4,4,4,,,
0,11,39,4,4,4,,,
0,12,44,4,4,4,,,
0,13,9,4,4,4,,,
0,14,63,4,4,4,,,
0,15,34,4,4,4,,,
0,ALL,,,,,static,16,16
0,ALL,,,,,rotor,64,64
0,ALL,,,,,round_only,64,64
0,ALL,,,,,position_only,16,16
1,0,93,4,4,4,,,
1,1,133,4,4,4,,,
1,2,75,4,4,4,,,
1,3,52,4,4,4,,,
1,4,136,4,4,4,,,
1,5,58,4,4,4,,,
1,6,29,4,4,4,,,
1,7,90,4,4,4,,,
1,8,263,4,4,4,,,
1,9,111,4,4,4,,,
1,10,77,4,4,4,,,
1,11,11,4,4,4,,,
1,12,46,4,4,4,,,
1,13,252,4,4,4,,,
1,14,277,4,4,4,,,
1,15,10,4,4,4,,,
1,ALL,,,,,static,16,16
1,ALL,,,,,rotor,64,64
1,ALL,,,,,round_only,64,64
1,ALL,,,,,position_only,16,16
2,0,116,4,4,4,,,
2,1,149,4,4,4,,,
2,2,564,4,4,4,,,
2,3,132,4,4,4,,,
2,4,169,4,4,4,,,
2,5,193,4,4,4,,,
2,6,99,4,4,4,,,
2,7,225,4,4,4,,,
2,8,4,4,4,4,,,
2,9,21,4,4,4,,,
2,10,126,4,4,4,,,
2,11,40,4,4,4,,,
2,12,44,4,4,4,,,
2,13,302,4,4,4,,,
2,14,60,4,4,4,,,
2,15,140,4,4,4,,,
2,ALL,,,,,static,16,16
2,ALL,,,,,rotor,64,64
2,ALL,,,,,round_only,64,64
2,ALL,,,,,position_only,16,16
3,0,178,4,4,4,,,
3,1,53,4,4,4,,,
3,2,94,4,4,4,,,
3,3,193,4,4,4,,,
3,4,393,4,4,4,,,
3,5,612,4,4,4,,,
3,6,88,4,4,4,,,
3,7,143,4,4,4,,,
3,8,58,4,4,4,,,
3,9,4,4,4,4,,,
3,10,21,4,4,4,,,
3,11,106,4,4,4,,,
3,12,118,4,4,4,,,
3,13,130,4,4,4,,,
3,14,5,4,4,4,,,
3,15,157,4,4,4,,,
3,ALL,,,,,static,16,16
3,ALL,,,,,rotor,64,64
3,ALL,,,,,round_only,64,64
3,ALL,,,,,position_only,16,16
