context_index,variant,rounds,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,max_single_trail_probability,max_single_trail_log2_probability,class_minus_single_gap_bits,finite_4_16_decay_bits_per_round
0,static,4,2.4959444999694824e-06,-18.611982714655,33,2.9802322387695312e-08,-25.000000000000,6.388017285345,4.996402959335
0,static,8,2.230327034169477e-12,-38.705881869767,33,4.4408920985006262e-16,-51.000000000000,12.294118130233,4.996402959335
0,static,12,2.2365039534533917e-18,-58.633460399385,33,3.3087224502121107e-24,-78.000000000000,19.366539600615,4.996402959335
0,static,16,2.2009274878448953e-24,-78.588162662576,33,4.9303806576313238e-32,-104.000000000000,25.411837337424,4.996402959335
0,position_only,4,2.4922192096710205e-06,-18.614137599359,97,1.4901161193847656e-08,-26.000000000000,7.385862400641,5.000099926782
0,position_only,8,2.2806756483362278e-12,-38.673675853686,97,2.2204460492503131e-16,-52.000000000000,13.326324146314,5.000099926782
0,position_only,12,2.1963607232298284e-18,-58.659590690571,97,1.6543612251060553e-24,-79.000000000000,20.340409309429,5.000099926782
0,position_only,16,2.1526432797515344e-24,-78.620165010821,97,1.2325951644078309e-32,-106.000000000000,27.379834989179,5.000099926782
0,rotor,4,2.1569430828094482e-06,-18.822580462011,66,2.9802322387695312e-08,-25.000000000000,6.177419537989,4.997478881656
0,rotor,8,1.9714369026146983e-12,-38.883889602051,66,1.1102230246251565e-16,-53.000000000000,14.116110397949,4.997478881656
0,rotor,12,1.978398528424529e-18,-58.810372636239,97,1.6543612251060553e-24,-79.000000000000,20.189627363761,4.997478881656
0,rotor,16,1.8826999218913073e-24,-78.813471206021,97,1.2325951644078309e-32,-106.000000000000,27.186528793979,4.997478881656
0,round_only,4,1.8104910850524902e-06,-19.075187496394,3,1.4901161193847656e-08,-26.000000000000,6.924812503606,5.002066008674
0,round_only,8,1.9522161665008753e-12,-38.898024329051,3,2.2204460492503131e-16,-52.000000000000,13.101975670949,5.002066008674
0,round_only,12,1.691533015774175e-18,-59.036374371675,3,1.6543612251060553e-24,-79.000000000000,19.963625628325,5.002066008674
0,round_only,16,1.5906943822797222e-24,-79.056617597833,3,1.2325951644078309e-32,-106.000000000000,26.943382402167,5.002066008674
1,static,4,3.2149255275726318e-06,-18.246783250821,103,1.4901161193847656e-08,-26.000000000000,7.753216749179,4.905506525835
1,static,8,3.9456493627909595e-12,-37.882874384573,103,1.1102230246251565e-16,-53.000000000000,15.117125615427,4.905506525835
1,static,12,4.7262428407901455e-18,-57.554011949121,103,8.2718061255302767e-25,-80.000000000000,22.445988050879,4.905506525835
1,static,16,6.1893298221528179e-24,-77.096491073770,103,1.2325951644078309e-32,-106.000000000000,28.903508926230,4.905506525835
1,position_only,4,3.7252902984619141e-06,-18.034215715338,103,1.4901161193847656e-08,-26.000000000000,7.965784284662,4.931987479165
1,position_only,8,3.9476477642352847e-12,-37.882143870096,103,1.1102230246251565e-16,-53.000000000000,15.117856129904,4.931987479165
1,position_only,12,4.5197161594594503e-18,-57.618473534491,103,8.2718061255302767e-25,-80.000000000000,22.381526465509,4.931987479165
1,position_only,16,5.7001586005912064e-24,-77.215272216071,103,6.1629758220391547e-33,-107.000000000000,29.784727783929,4.931987479165
1,rotor,4,2.1643936634063721e-06,-18.817605646595,8,1.4901161193847656e-08,-26.000000000000,7.182394353405,4.967645864101
1,rotor,8,2.0747431550560691e-12,-38.810204391038,77,1.1102230246251565e-16,-53.000000000000,14.189795608962,4.967645864101
1,rotor,12,2.2579005309607243e-18,-58.619723776623,8,8.2718061255302767e-25,-80.000000000000,21.380276223377,4.967645864101
1,rotor,16,2.4226123470431821e-24,-78.449710706078,8,1.2325951644078309e-32,-106.000000000000,27.550289293922,4.967645864101
1,round_only,4,2.0489096641540527e-06,-18.896712191588,8,1.4901161193847656e-08,-26.000000000000,7.103287808412,4.959027171954
1,round_only,8,2.1723040033450047e-12,-38.743911123246,103,1.1102230246251565e-16,-53.000000000000,14.256088876754,4.959027171954
1,round_only,12,2.3303683251616348e-18,-58.574147710652,108,1.6543612251060553e-24,-79.000000000000,20.425852289348,4.959027171954
1,round_only,16,2.4954130844237227e-24,-78.406995621846,108,1.2325951644078309e-32,-106.000000000000,27.593004378154,4.959027171954
2,static,4,2.5033950805664062e-06,-18.607682577221,3,1.4901161193847656e-08,-26.000000000000,7.392317422779,4.939546492377
