context_index,variant,mean_one_step_retention_probability,neglog2_mean_one_step_retention,distinct_sbox_input_differences_over_16_rounds
0,static,0.03179931640625,4.974860437721,98
0,position_only,0.03076171875,5.022720076500,95
0,rotor,0.0313262939453125,4.996482087891,195
0,round_only,0.0313262939453125,4.996482087891,195
1,static,0.0330810546875,4.917850958646,92
1,position_only,0.03314208984375,4.915191612196,99
1,rotor,0.032135009765625,4.959710278974,195
1,round_only,0.032135009765625,4.959710278974,195
2,static,0.0321044921875,4.961081010708,100
2,position_only,0.0308837890625,5.017006425306,96
2,rotor,0.0313720703125,4.994375450806,202
2,round_only,0.0313720703125,4.994375450806,202
3,static,0.03173828125,4.977632186972,96
3,position_only,0.030517578125,5.034215715338,97
3,rotor,0.031036376953125,5.009896036143,201
3,round_only,0.031036376953125,5.009896036143,201
4,static,0.03228759765625,4.952876087886,106
4,position_only,0.0313720703125,4.994375450806,94
4,rotor,0.0317230224609375,4.978325957142,202
4,round_only,0.0317230224609375,4.978325957142,202
5,static,0.0316162109375,4.983191712313,97
5,position_only,0.0321044921875,4.961081010708,95
5,rotor,0.0315704345703125,4.985282070140,198
5,round_only,0.0315704345703125,4.985282070140,198
6,static,0.03125,5.000000000000,101
6,position_only,0.03204345703125,4.963826387447,97
6,rotor,0.03125,5.000000000000,195
6,round_only,0.03125,5.000000000000,195
7,static,0.0322265625,4.955605880642,102
7,position_only,0.0338134765625,4.886257833951,94
7,rotor,0.032958984375,4.923184402949,202
7,round_only,0.032958984375,4.923184402949,202
8,static,0.03179931640625,4.974860437721,96
8,position_only,0.0321044921875,4.961081010708,97
8,rotor,0.032135009765625,4.959710278974,198
8,round_only,0.032135009765625,4.959710278974,198
9,static,0.03192138671875,4.969332863753,101
9,position_only,0.031494140625,4.988772744577,94
9,rotor,0.0319061279296875,4.970022653410,192
9,round_only,0.0319061279296875,4.970022653410,192
10,static,0.03155517578125,4.985979529685,98
10,position_only,0.03228759765625,4.952876087886,106
10,rotor,0.0315704345703125,4.985282070140,200
10,round_only,0.0315704345703125,4.985282070140,200
11,static,0.03125,5.000000000000,98
11,position_only,0.03070068359375,5.025585410194,101
11,rotor,0.0314483642578125,4.990871210461,202
11,round_only,0.0314483642578125,4.990871210461,202
12,static,0.031982421875,4.966576998463,98
12,position_only,0.03118896484375,5.002820519062,97
12,rotor,0.0317840576171875,4.975552875959,195
12,round_only,0.0317840576171875,4.975552875959,195
13,static,0.03082275390625,5.019860422361,97
13,position_only,0.0303955078125,5.039998067932,95
13,rotor,0.0309600830078125,5.013446850243,203
13,round_only,0.0309600830078125,5.013446850243,203
14,static,0.033203125,4.912537158750,97
14,position_only,0.03399658203125,4.878466482660,92
14,rotor,0.0337371826171875,4.889516690184,190
14,round_only,0.0337371826171875,4.889516690184,190
15,static,0.030517578125,5.034215715338,97
15,position_only,0.0303955078125,5.039998067932,98
15,rotor,0.03143310546875,4.991571377929,201
15,round_only,0.03143310546875,4.991571377929,201
16,static,0.0323486328125,4.950151450549,99
16,position_only,0.03082275390625,5.019860422361,96
16,rotor,0.0315093994140625,4.988073933693,194
16,round_only,0.0315093994140625,4.988073933693,194
17,static,0.03179931640625,4.974860437721,102
17,position_only,0.033203125,4.912537158750,106
17,rotor,0.0323486328125,4.950151450549,202
17,round_only,0.0323486328125,4.950151450549,202
18,static,0.0313720703125,4.994375450806,100
18,position_only,0.031982421875,4.966576998463,102
18,rotor,0.0319366455078125,4.968643403744,196
18,round_only,0.0319366455078125,4.968643403744,196
19,static,0.0328369140625,4.928537637443,92
19,position_only,0.0316162109375,4.983191712313,94
19,rotor,0.032318115234375,4.951513126008,199
19,round_only,0.032318115234375,4.951513126008,199
20,static,0.03204345703125,4.963826387447,101
20,position_only,0.0321044921875,4.961081010708,94
20,rotor,0.031280517578125,4.998591805607,197
20,round_only,0.031280517578125,4.998591805607,197
21,static,0.03192138671875,4.969332863753,106
21,position_only,0.03076171875,5.022720076500,100
21,rotor,0.0316009521484375,4.983888161779,194
21,round_only,0.0316009521484375,4.983888161779,194
22,static,0.03155517578125,4.985979529685,91
22,position_only,0.03125,5.000000000000,92
22,rotor,0.03118896484375,5.002820519062,184
22,round_only,0.03118896484375,5.002820519062,184
23,static,0.03173828125,4.977632186972,99
23,position_only,0.0311279296875,5.005646563141,98
23,rotor,0.03118896484375,5.002820519062,194
23,round_only,0.03118896484375,5.002820519062,194
24,static,0.03472900390625,4.847715157693,96
24,position_only,0.03289794921875,4.925858537247,101
24,rotor,0.032379150390625,4.948791059085,196
24,round_only,0.032379150390625,4.948791059085,196
25,static,0.03167724609375,4.980409271642,99
25,position_only,0.03179931640625,4.974860437721,101
25,rotor,0.0313873291015625,4.993673921475,205
25,round_only,0.0313873291015625,4.993673921475,205
26,static,0.03216552734375,4.958340848363,100
26,position_only,0.03314208984375,4.915191612196,90
26,rotor,0.03228759765625,4.952876087886,199
26,round_only,0.03228759765625,4.952876087886,199
27,static,0.03118896484375,5.002820519062,97
27,position_only,0.03240966796875,4.947431949196,91
27,rotor,0.0313568115234375,4.995077321431,190
27,round_only,0.0313568115234375,4.995077321431,190
28,static,0.03216552734375,4.958340848363,102
28,position_only,0.03265380859375,4.936604918711,92
28,rotor,0.0324859619140625,4.944039765548,186
28,round_only,0.0324859619140625,4.944039765548,186
29,static,0.0330810546875,4.917850958646,101
29,position_only,0.0316162109375,4.983191712313,100
29,rotor,0.0322113037109375,4.956289136653,189
29,round_only,0.0322113037109375,4.956289136653,189
30,static,0.0328369140625,4.928537637443,93
30,position_only,0.0318603515625,4.972094003430,102
30,rotor,0.031494140625,4.988772744577,202
30,round_only,0.031494140625,4.988772744577,202
31,static,0.0318603515625,4.972094003430,100
31,position_only,0.03338623046875,4.904602977207,89
31,rotor,0.0313873291015625,4.993673921475,187
31,round_only,0.0313873291015625,4.993673921475,187
32,static,0.03253173828125,4.942008277241,96
32,position_only,0.03240966796875,4.947431949196,100
32,rotor,0.0324554443359375,4.945395682039,203
32,round_only,0.0324554443359375,4.945395682039,203
33,static,0.03131103515625,4.997184984393,102
33,position_only,0.03253173828125,4.942008277241,101
33,rotor,0.03118896484375,5.002820519062,191
33,round_only,0.03118896484375,5.002820519062,191
34,static,0.03192138671875,4.969332863753,100
34,position_only,0.0303955078125,5.039998067932,94
34,rotor,0.031707763671875,4.979020061096,196
34,round_only,0.031707763671875,4.979020061096,196
35,static,0.03076171875,5.022720076500,96
35,position_only,0.0322265625,4.955605880642,99
35,rotor,0.03173828125,4.977632186972,200
35,round_only,0.03173828125,4.977632186972,200
36,static,0.0318603515625,4.972094003430,100
36,position_only,0.031494140625,4.988772744577,106
36,rotor,0.0316619873046875,4.981104378878,204
36,round_only,0.0316619873046875,4.981104378878,204
37,static,0.031982421875,4.966576998463,93
37,position_only,0.03289794921875,4.925858537247,96
37,rotor,0.03240966796875,4.947431949196,192
37,round_only,0.03240966796875,4.947431949196,192
38,static,0.03240966796875,4.947431949196,101
38,position_only,0.032470703125,4.944717564499,100
38,rotor,0.0323944091796875,4.948111344095,197
38,round_only,0.0323944091796875,4.948111344095,197
39,static,0.03131103515625,4.997184984393,105
39,position_only,0.0318603515625,4.972094003430,99
39,rotor,0.0312957763671875,4.997888223520,200
39,round_only,0.0312957763671875,4.997888223520,200
40,static,0.03143310546875,4.991571377929,101
40,position_only,0.03167724609375,4.980409271642,105
40,rotor,0.031951904296875,4.967954273069,202
40,round_only,0.031951904296875,4.967954273069,202
41,static,0.0328369140625,4.928537637443,101
41,position_only,0.03070068359375,5.025585410194,103
41,rotor,0.03125,5.000000000000,201
41,round_only,0.03125,5.000000000000,201
42,static,0.03070068359375,5.025585410194,94
42,position_only,0.03228759765625,4.952876087886,94
42,rotor,0.031097412109375,5.007061663834,191
42,round_only,0.031097412109375,5.007061663834,191
43,static,0.032470703125,4.944717564499,101
43,position_only,0.031494140625,4.988772744577,101
43,rotor,0.0323486328125,4.950151450549,184
43,round_only,0.0323486328125,4.950151450549,184
44,static,0.03021240234375,5.048715285033,94
44,position_only,0.03009033203125,5.054556163622,102
44,rotor,0.0309295654296875,5.014869626533,189
44,round_only,0.0309295654296875,5.014869626533,189
45,static,0.03076171875,5.022720076500,96
45,position_only,0.0323486328125,4.950151450549,108
45,rotor,0.031280517578125,4.998591805607,202
45,round_only,0.031280517578125,4.998591805607,202
46,static,0.0325927734375,4.939304068312,95
46,position_only,0.031494140625,4.988772744577,96
46,rotor,0.0311126708984375,5.006353939983,191
46,round_only,0.0311126708984375,5.006353939983,191
47,static,0.033203125,4.912537158750,95
47,position_only,0.03240966796875,4.947431949196,100
47,rotor,0.0318145751953125,4.974168331668,198
47,round_only,0.0318145751953125,4.974168331668,198
48,static,0.0311279296875,5.005646563141,99
48,position_only,0.0321044921875,4.961081010708,95
48,rotor,0.031463623046875,4.990171382632,191
48,round_only,0.031463623046875,4.990171382632,191
49,static,0.031494140625,4.988772744577,98
49,position_only,0.03131103515625,4.997184984393,95
49,rotor,0.0312652587890625,4.999295730989,200
49,round_only,0.0312652587890625,4.999295730989,200
50,static,0.03167724609375,4.980409271642,101
50,position_only,0.03033447265625,5.042897958438,97
50,rotor,0.0312042236328125,5.002114872171,203
50,round_only,0.0312042236328125,5.002114872171,203
51,static,0.03045654296875,5.037103994663,95
51,position_only,0.03216552734375,4.958340848363,96
51,rotor,0.0318450927734375,4.972785114840,200
51,round_only,0.0318450927734375,4.972785114840,200
52,static,0.03125,5.000000000000,99
52,position_only,0.0308837890625,5.017006425306,91
52,rotor,0.03118896484375,5.002820519062,193
52,round_only,0.03118896484375,5.002820519062,193
53,static,0.0322265625,4.955605880642,101
53,position_only,0.0308837890625,5.017006425306,91
53,rotor,0.031402587890625,4.992972733106,199
53,round_only,0.031402587890625,4.992972733106,199
54,static,0.0308837890625,5.017006425306,96
54,position_only,0.03192138671875,4.969332863753,93
54,rotor,0.03131103515625,4.997184984393,197
54,round_only,0.03131103515625,4.997184984393,197
55,static,0.03216552734375,4.958340848363,95
55,position_only,0.03009033203125,5.054556163622,98
55,rotor,0.031982421875,4.966576998463,192
55,round_only,0.031982421875,4.966576998463,192
56,static,0.03125,5.000000000000,95
56,position_only,0.0306396484375,5.028456446049,97
56,rotor,0.0303802490234375,5.040722494279,195
56,round_only,0.0303802490234375,5.040722494279,195
57,static,0.03314208984375,4.915191612196,100
57,position_only,0.03204345703125,4.963826387447,102
57,rotor,0.0316619873046875,4.981104378878,192
57,round_only,0.0316619873046875,4.981104378878,192
58,static,0.03021240234375,5.048715285033,99
58,position_only,0.02972412109375,5.072222037918,101
58,rotor,0.030609130859375,5.029894109388,203
58,round_only,0.030609130859375,5.029894109388,203
59,static,0.03173828125,4.977632186972,94
59,position_only,0.03179931640625,4.974860437721,97
59,rotor,0.0321807861328125,4.957656620206,189
59,round_only,0.0321807861328125,4.957656620206,189
60,static,0.0323486328125,4.950151450549,97
60,position_only,0.03228759765625,4.952876087886,102
60,rotor,0.0311126708984375,5.006353939983,207
60,round_only,0.0311126708984375,5.006353939983,207
61,static,0.03118896484375,5.002820519062,96
61,position_only,0.03204345703125,4.963826387447,104
61,rotor,0.0323638916015625,4.949471094469,193
61,round_only,0.0323638916015625,4.949471094469,193
62,static,0.03155517578125,4.985979529685,97
62,position_only,0.03045654296875,5.037103994663,100
62,rotor,0.0311737060546875,5.003526511267,188
62,round_only,0.0311737060546875,5.003526511267,188
63,static,0.03192138671875,4.969332863753,99
63,position_only,0.03338623046875,4.904602977207,86
63,rotor,0.0314178466796875,4.992271885368,191
63,round_only,0.0314178466796875,4.992271885368,191
64,static,0.0333251953125,4.907242859080,100
64,position_only,0.0316162109375,4.983191712313,97
64,rotor,0.0316619873046875,4.981104378878,200
64,round_only,0.0316619873046875,4.981104378878,200
65,static,0.03192138671875,4.969332863753,99
65,position_only,0.0338134765625,4.886257833951,101
65,rotor,0.031646728515625,4.981799821187,194
65,round_only,0.031646728515625,4.981799821187,194
66,static,0.03076171875,5.022720076500,98
66,position_only,0.0311279296875,5.005646563141,96
66,rotor,0.032012939453125,4.965201037423,199
66,round_only,0.032012939453125,4.965201037423,199
67,static,0.03173828125,4.977632186972,97
67,position_only,0.03070068359375,5.025585410194,99
67,rotor,0.031097412109375,5.007061663834,200
67,round_only,0.031097412109375,5.007061663834,200
68,static,0.03118896484375,5.002820519062,96
68,position_only,0.03021240234375,5.048715285033,106
68,rotor,0.030670166015625,5.027020213934,200
68,round_only,0.030670166015625,5.027020213934,200
69,static,0.031494140625,4.988772744577,97
69,position_only,0.03131103515625,4.997184984393,96
69,rotor,0.0308837890625,5.017006425306,194
69,round_only,0.0308837890625,5.017006425306,194
70,static,0.0328369140625,4.928537637443,96
70,position_only,0.03155517578125,4.985979529685,100
70,rotor,0.032196044921875,4.956972716405,182
70,round_only,0.032196044921875,4.956972716405,182
71,static,0.03192138671875,4.969332863753,101
71,position_only,0.03289794921875,4.925858537247,102
71,rotor,0.0316009521484375,4.983888161779,197
71,round_only,0.0316009521484375,4.983888161779,197
72,static,0.03228759765625,4.952876087886,97
72,position_only,0.03076171875,5.022720076500,106
72,rotor,0.031219482421875,5.001409570255,201
72,round_only,0.031219482421875,5.001409570255,201
73,static,0.03204345703125,4.963826387447,95
73,position_only,0.031005859375,5.011315313228,94
73,rotor,0.031158447265625,5.004232849122,192
73,round_only,0.031158447265625,5.004232849122,192
74,static,0.03314208984375,4.915191612196,104
74,position_only,0.03173828125,4.977632186972,96
74,rotor,0.03131103515625,4.997184984393,194
74,round_only,0.03131103515625,4.997184984393,194
75,static,0.0318603515625,4.972094003430,94
75,position_only,0.03131103515625,4.997184984393,102
75,rotor,0.031585693359375,4.984584947613,195
75,round_only,0.031585693359375,4.984584947613,195
76,static,0.0321044921875,4.961081010708,104
76,position_only,0.03076171875,5.022720076500,105
76,rotor,0.031219482421875,5.001409570255,206
76,round_only,0.031219482421875,5.001409570255,206
77,static,0.0325927734375,4.939304068312,94
77,position_only,0.032470703125,4.944717564499,92
77,rotor,0.0319061279296875,4.970022653410,192
77,round_only,0.0319061279296875,4.970022653410,192
78,static,0.03094482421875,5.014158062997,90
78,position_only,0.032470703125,4.944717564499,103
78,rotor,0.031890869140625,4.970712773032,195
78,round_only,0.031890869140625,4.970712773032,195
79,static,0.03228759765625,4.952876087886,100
79,position_only,0.03253173828125,4.942008277241,106
79,rotor,0.0318450927734375,4.972785114840,205
79,round_only,0.0318450927734375,4.972785114840,205
80,static,0.03070068359375,5.025585410194,98
80,position_only,0.0302734375,5.045803689613,95
