context_index,variant,period_rounds,spectral_decay_bits_per_round,period_perron_factor,iterations
0,static,16,4.976993690570,1.067602973037796e-24,9
0,position_only,16,5.006540833896,7.6930145121153622e-25,12
0,rotor,16,5.000773627144,8.2011392740187271e-25,9
0,round_only,16,5.007923531940,7.5759450210709252e-25,10
1,static,16,4.902432154323,2.4408096825505744e-24,12
1,position_only,16,4.906254970740,2.3394911083020877e-24,11
1,rotor,16,4.956256825798,1.3436571501405031e-24,10
1,round_only,16,4.960302270172,1.284705744009213e-24,10
2,static,16,4.952788792396,1.3963432205598719e-24,11
2,position_only,16,5.011436213532,7.2864846430704077e-25,10
2,rotor,16,4.990662982992,9.1742781241577308e-25,10
2,round_only,16,4.995108419837,8.7329413720751868e-25,10
3,static,16,4.965537960182,1.2122329096284866e-24,11
3,position_only,16,5.018743098378,6.7193086335490804e-25,14
3,rotor,16,5.008830372834,7.5001341835614685e-25,10
3,round_only,16,5.011965449104,7.2438425393562505e-25,12
4,static,16,4.949217004065,1.4527658674971462e-24,10
4,position_only,16,4.985542948216,9.7102955059124277e-25,9
4,rotor,16,4.986397605214,9.6186917775639964e-25,10
4,round_only,16,4.982475728265,1.0046288599961343e-24,10
5,static,16,4.976052908570,1.0788002344233171e-24,10
5,position_only,16,4.953416461927,1.3866569193586261e-24,12
5,rotor,16,4.994749287148,8.767793242480087e-25,12
5,round_only,16,4.983888329449,9.8901273710677037e-25,10
6,static,16,4.986476864160,9.6102405677857542e-25,12
6,position_only,16,4.949885984117,1.4420273539151484e-24,11
6,rotor,16,5.007017510710,7.6524525852881863e-25,11
6,round_only,16,5.001911354890,8.0983090125768956e-25,11
7,static,16,4.945859365483,1.5078829357576976e-24,9
7,position_only,16,4.879287001489,3.1550923932282185e-24,10
7,rotor,16,4.930883458614,1.7803229131398812e-24,10
7,round_only,16,4.937749975675,1.6497811597658513e-24,11
8,static,16,4.963661096636,1.2377300802853789e-24,11
8,position_only,16,4.956462755082,1.3405919686859147e-24,10
8,rotor,16,4.963547923922,1.2392845622836082e-24,10
8,round_only,16,4.966992201424,1.1928387700969559e-24,10
9,static,16,4.958943186547,1.3042164237471791e-24,11
9,position_only,16,4.984610479201,9.8112347025599167e-25,9
9,rotor,16,4.971210543140,1.1383195326505753e-24,10
9,round_only,16,4.977436877134,1.0623684761993518e-24,9
10,static,16,4.974642388000,1.0958087808554743e-24,11
10,position_only,16,4.952656728187,1.3983898576497942e-24,10
10,rotor,16,4.980039264927,1.032145270218228e-24,9
10,round_only,16,4.982447892878,1.0049390411442382e-24,11
11,static,16,4.998778381224,8.3846366903806659e-25,9
11,position_only,16,5.032953470770,5.7395866433793605e-25,11
11,rotor,16,4.986435416731,9.6146590907437516e-25,11
11,round_only,16,4.995370187913,8.7076255274341695e-25,9
12,static,16,4.963764521941,1.2363111889041924e-24,10
12,position_only,16,4.999707207506,8.2987097650552831e-25,12
12,rotor,16,4.969357308698,1.1619575295923177e-24,9
12,round_only,16,4.961203710291,1.271926154133918e-24,11
13,static,16,5.005698895442,7.7651836484787587e-25,10
13,position_only,16,5.021376023028,6.5259412688314177e-25,11
13,rotor,16,5.007890961181,7.5786821078550729e-25,11
