variant,rounds,n_keys,mean_log2_class_probability,sd_log2_class_probability,ci95_low_log2,ci95_high_log2,mean_finite_4_16_decay_bits_per_round,sd_finite_decay,finite_decay_ci95_low,finite_decay_ci95_high,transfer_n_keys,mean_transfer_decay_bits_per_round,sd_transfer_decay,transfer_decay_ci95_low,transfer_decay_ci95_high,mean_one_step_retention_probability,neglog2_mean_one_step_retention,mean_distinct_sbox_input_differences
static,4,256,-18.630873,0.235865,-18.659767,-18.601980,4.965911,0.043595,4.960571,4.971251,256,4.973952,0.042189,4.968784,4.979120,0.031619549,4.983039,97.902
static,8,256,-38.425946,0.386326,-38.473271,-38.378621,4.965911,0.043595,4.960571,4.971251,256,4.973952,0.042189,4.968784,4.979120,0.031619549,4.983039,97.902
static,12,256,-58.321042,0.526380,-58.385523,-58.256560,4.965911,0.043595,4.960571,4.971251,256,4.973952,0.042189,4.968784,4.979120,0.031619549,4.983039,97.902
static,16,256,-78.211322,0.678278,-78.294411,-78.128233,4.965911,0.043595,4.960571,4.971251,256,4.973952,0.042189,4.968784,4.979120,0.031619549,4.983039,97.902
position_only,4,256,-18.653364,0.247901,-18.683732,-18.622997,4.966482,0.048335,4.960561,4.972403,256,4.975459,0.045596,4.969874,4.981045,0.031613588,4.983311,97.848
position_only,8,256,-38.453830,0.404979,-38.503440,-38.404220,4.966482,0.048335,4.960561,4.972403,256,4.975459,0.045596,4.969874,4.981045,0.031613588,4.983311,97.848
position_only,12,256,-58.346557,0.577896,-58.417349,-58.275764,4.966482,0.048335,4.960561,4.972403,256,4.975459,0.045596,4.969874,4.981045,0.031613588,4.983311,97.848
position_only,16,256,-78.242220,0.749341,-78.334014,-78.150426,4.966482,0.048335,4.960561,4.972403,256,4.975459,0.045596,4.969874,4.981045,0.031613588,4.983311,97.848
rotor,4,256,-18.796949,0.157741,-18.816272,-18.777626,4.976887,0.026913,4.973591,4.980184,256,4.982758,0.025118,4.979681,4.985835,0.031627893,4.982659,196.324
rotor,8,256,-38.666497,0.233452,-38.695095,-38.637899,4.976887,0.026913,4.973591,4.980184,256,4.982758,0.025118,4.979681,4.985835,0.031627893,4.982659,196.324
rotor,12,256,-58.588322,0.316390,-58.627080,-58.549565,4.976887,0.026913,4.973591,4.980184,256,4.982758,0.025118,4.979681,4.985835,0.031627893,4.982659,196.324
rotor,16,256,-78.514840,0.409739,-78.565033,-78.464647,4.976887,0.026913,4.973591,4.980184,256,4.982758,0.025118,4.979681,4.985835,0.031627893,4.982659,196.324
round_only,4,256,-18.797868,0.162570,-18.817783,-18.777954,4.978249,0.026729,4.974975,4.981523,256,4.983432,0.024490,4.980432,4.986432,0.031627893,4.982659,196.324
round_only,8,256,-38.673153,0.237324,-38.702225,-38.644081,4.978249,0.026729,4.974975,4.981523,256,4.983432,0.024490,4.980432,4.986432,0.031627893,4.982659,196.324
round_only,12,256,-58.603782,0.325176,-58.643616,-58.563948,4.978249,0.026729,4.974975,4.981523,256,4.983432,0.024490,4.980432,4.986432,0.031627893,4.982659,196.324
round_only,16,256,-78.530981,0.417204,-78.582088,-78.479873,4.978249,0.026729,4.974975,4.981523,256,4.983432,0.024490,4.980432,4.986432,0.031627893,4.982659,196.324
